cell_line,drug_name,total_drugs_for_cell_line,possible_combinations
HCC1954,AZD5363,19,171
HCC1954,"001, RAD",19,171
HCC1954,SELUMETINIB,19,171
HCC1954,TRAMETINIB,19,171
HCC1954,AZD6738,19,171
HCC1954,AZD7762,19,171
HCC1954,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),19,171
HCC1954,GEFITINIB,19,171
HCC1954,FULVESTRANT,19,171
HCC1954,TAMOXIFEN,19,171
HCC1954,SAPITINIB,19,171
HCC38,OLAPARIB,19,171
HCC38,AZD1208,19,171
HCC38,AZD8186,19,171
HCC38,AFATINIB,19,171
HCC38,957054-30-7,19,171
HCC38,MK-2206,19,171
HCC38,AZD4320,19,171
HCC38,AZD2014,19,171
HCC38,ASTRAZENECA PIP5K1 INHIBITOR,19,171
HCC38,AZD5363,19,171
HCC38,SELUMETINIB,19,171
HCC38,AZD6738,19,171
HCC38,AZD3463,19,171
HCC38,ASTRAZENECA SLC16A4 INHIBITOR,19,171
HCC38,AZD4547,19,171
HCC38,ALPELISIB,19,171
HCC38,BUPARLISIB,19,171
HCC38,SAPITINIB,19,171
HCC38,1309805-49-9,19,171
HCC70,OLAPARIB,31,465
HCC70,AZ12419304,31,465
HCC70,CARBOPLATIN PACLITAXEL,31,465
HCC70,AZD8186,31,465
HCC70,957054-30-7,31,465
HCC70,CHLOROQUINE,31,465
HCC70,AZD5582,31,465
HCC70,AZD2014,31,465
HCC70,SELUMETINIB,31,465
HCC70,TRAMETINIB,31,465
HCC70,AZD6738,31,465
HCC70,AZD7762,31,465
HCC70,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),31,465
HCC70,ASTRAZENECA SLC16A4 INHIBITOR,31,465
HCC70,ALPELISIB,31,465
HCC70,BUPARLISIB,31,465
HCC70,1309805-49-9,31,465
HCC70,AZD1208,31,465
HCC70,AFATINIB,31,465
HCC70,41575-94-4,31,465
HCC70,MK-2206,31,465
HCC70,AZD4320,31,465
HCC70,AZD5363,31,465
HCC70,ASTRAZENECA PIP5K1 INHIBITOR,31,465
HCC70,"001, RAD",31,465
HCC70,AZD3463,31,465
HCC70,GEFITINIB,31,465
HCC70,FULVESTRANT,31,465
HCC70,TAMOXIFEN,31,465
HCC70,AZD4547,31,465
HCC70,SAPITINIB,31,465
KPL-4,AZ12419304,19,171
KPL-4,CARBOPLATIN PACLITAXEL,19,171
KPL-4,957054-30-7,19,171
KPL-4,CHLOROQUINE,19,171
KPL-4,41575-94-4,19,171
KPL-4,MK-2206,19,171
KPL-4,AZD5582,19,171
KPL-4,AZD2014,19,171
KPL-4,AZD5363,19,171
KPL-4,"001, RAD",19,171
KPL-4,SELUMETINIB,19,171
KPL-4,TRAMETINIB,19,171
KPL-4,AZD6738,19,171
KPL-4,AZD7762,19,171
KPL-4,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),19,171
KPL-4,GEFITINIB,19,171
KPL-4,FULVESTRANT,19,171
KPL-4,TAMOXIFEN,19,171
KPL-4,SAPITINIB,19,171
MDA-MB-157,OLAPARIB,31,465
MDA-MB-157,AZ12419304,31,465
MDA-MB-157,CARBOPLATIN PACLITAXEL,31,465
MDA-MB-157,AZD8186,31,465
MDA-MB-157,957054-30-7,31,465
MDA-MB-157,CHLOROQUINE,31,465
MDA-MB-157,AZD5582,31,465
MDA-MB-157,AZD2014,31,465
MDA-MB-157,SELUMETINIB,31,465
MDA-MB-157,TRAMETINIB,31,465
MDA-MB-157,AZD6738,31,465
MDA-MB-157,AZD7762,31,465
MDA-MB-157,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),31,465
MDA-MB-157,ASTRAZENECA SLC16A4 INHIBITOR,31,465
MDA-MB-157,ALPELISIB,31,465
MDA-MB-157,BUPARLISIB,31,465
MDA-MB-157,1309805-49-9,31,465
MDA-MB-157,AZD1208,31,465
MDA-MB-157,AFATINIB,31,465
MDA-MB-157,41575-94-4,31,465
MDA-MB-157,MK-2206,31,465
MDA-MB-157,AZD4320,31,465
MDA-MB-157,AZD5363,31,465
MDA-MB-157,ASTRAZENECA PIP5K1 INHIBITOR,31,465
MDA-MB-157,"001, RAD",31,465
MDA-MB-157,AZD3463,31,465
MDA-MB-157,GEFITINIB,31,465
MDA-MB-157,FULVESTRANT,31,465
MDA-MB-157,TAMOXIFEN,31,465
MDA-MB-157,AZD4547,31,465
MDA-MB-157,SAPITINIB,31,465
MDA-MB-175-VII,PEVONEDISTAT,45,990
MDA-MB-175-VII,ENTINOSTAT,45,990
MDA-MB-175-VII,TEMSIROLIMUS,45,990
MDA-MB-175-VII,CHLOROQUINE,45,990
MDA-MB-175-VII,1224844-38-5,45,990
MDA-MB-175-VII,AZD2014,45,990
MDA-MB-175-VII,SELUMETINIB,45,990
MDA-MB-175-VII,TRAMETINIB,45,990
MDA-MB-175-VII,781661-94-7,45,990
MDA-MB-175-VII,ONALESPIB,45,990
MDA-MB-175-VII,AZD7762,45,990
MDA-MB-175-VII,CARFILZOMIB,45,990
MDA-MB-175-VII,VORINOSTAT,45,990
MDA-MB-175-VII,RAF265,45,990
MDA-MB-175-VII,PERIFOSINE,45,990
MDA-MB-175-VII,GDC-0879,45,990
MDA-MB-175-VII,RO4929097,45,990
MDA-MB-175-VII,NAVITOCLAX,45,990
MDA-MB-175-VII,MK-2206,45,990
MDA-MB-175-VII,AZD5363,45,990
MDA-MB-175-VII,4-HYDROXYTAMOXIFEN,45,990
MDA-MB-175-VII,FULVESTRANT,45,990
MDA-MB-175-VII,TIVANTINIB,45,990
MDA-MB-175-VII,AZD4547,45,990
MDA-MB-175-VII,OLAPARIB,45,990
MDA-MB-175-VII,BORTEZOMIB,45,990
MDA-MB-175-VII,803712-79-0,45,990
MDA-MB-175-VII,ASTRAZENECA CHK1 INHIBITOR,45,990
MDA-MB-175-VII,946128-88-7,45,990
MDA-MB-175-VII,XL765,45,990
MDA-MB-175-VII,LONAFARNIB,45,990
MDA-MB-175-VII,REGORAFENIB,45,990
MDA-MB-175-VII,AZD1480,45,990
MDA-MB-175-VII,ENZASTAURIN,45,990
MDA-MB-175-VII,DEFOROLIMUS,45,990
MDA-MB-175-VII,MK-1775,45,990
MDA-MB-175-VII,5-AZACYTIDINE,45,990
MDA-MB-175-VII,VANDETANIB,45,990
MDA-MB-175-VII,"001, RAD",45,990
MDA-MB-175-VII,IDELALISIB,45,990
MDA-MB-175-VII,MED-575,45,990
MDA-MB-175-VII,GEFITINIB,45,990
MDA-MB-175-VII,CRIZOTINIB,45,990
MDA-MB-175-VII,TAMOXIFEN,45,990
MDA-MB-175-VII,SAPITINIB,45,990
MDA-MB-361,PEVONEDISTAT,52,1326
MDA-MB-361,AZ12419304,52,1326
MDA-MB-361,ENTINOSTAT,52,1326
MDA-MB-361,TEMSIROLIMUS,52,1326
MDA-MB-361,CHLOROQUINE,52,1326
MDA-MB-361,1224844-38-5,52,1326
MDA-MB-361,AZD5582,52,1326
MDA-MB-361,AZD2014,52,1326
MDA-MB-361,SELUMETINIB,52,1326
MDA-MB-361,TRAMETINIB,52,1326
MDA-MB-361,781661-94-7,52,1326
MDA-MB-361,ONALESPIB,52,1326
MDA-MB-361,AZD7762,52,1326
MDA-MB-361,CARFILZOMIB,52,1326
MDA-MB-361,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),52,1326
MDA-MB-361,VORINOSTAT,52,1326
MDA-MB-361,RAF265,52,1326
MDA-MB-361,PERIFOSINE,52,1326
MDA-MB-361,GDC-0879,52,1326
MDA-MB-361,RO4929097,52,1326
MDA-MB-361,NAVITOCLAX,52,1326
MDA-MB-361,MK-2206,52,1326
MDA-MB-361,AZD5363,52,1326
MDA-MB-361,4-HYDROXYTAMOXIFEN,52,1326
MDA-MB-361,FULVESTRANT,52,1326
MDA-MB-361,TIVANTINIB,52,1326
MDA-MB-361,AZD4547,52,1326
MDA-MB-361,OLAPARIB,52,1326
MDA-MB-361,BORTEZOMIB,52,1326
MDA-MB-361,CARBOPLATIN PACLITAXEL,52,1326
MDA-MB-361,803712-79-0,52,1326
MDA-MB-361,957054-30-7,52,1326
MDA-MB-361,ASTRAZENECA CHK1 INHIBITOR,52,1326
MDA-MB-361,946128-88-7,52,1326
MDA-MB-361,XL765,52,1326
MDA-MB-361,AZD6738,52,1326
MDA-MB-361,LONAFARNIB,52,1326
MDA-MB-361,REGORAFENIB,52,1326
MDA-MB-361,AZD1480,52,1326
MDA-MB-361,ENZASTAURIN,52,1326
MDA-MB-361,DEFOROLIMUS,52,1326
MDA-MB-361,MK-1775,52,1326
MDA-MB-361,5-AZACYTIDINE,52,1326
MDA-MB-361,41575-94-4,52,1326
MDA-MB-361,VANDETANIB,52,1326
MDA-MB-361,"001, RAD",52,1326
MDA-MB-361,IDELALISIB,52,1326
MDA-MB-361,MED-575,52,1326
MDA-MB-361,GEFITINIB,52,1326
MDA-MB-361,CRIZOTINIB,52,1326
MDA-MB-361,TAMOXIFEN,52,1326
MDA-MB-361,SAPITINIB,52,1326
MDA-MB-415,AZ12419304,19,171
MDA-MB-415,CARBOPLATIN PACLITAXEL,19,171
MDA-MB-415,957054-30-7,19,171
MDA-MB-415,CHLOROQUINE,19,171
MDA-MB-415,41575-94-4,19,171
MDA-MB-415,MK-2206,19,171
MDA-MB-415,AZD5582,19,171
MDA-MB-415,AZD2014,19,171
MDA-MB-415,AZD5363,19,171
MDA-MB-415,"001, RAD",19,171
MDA-MB-415,SELUMETINIB,19,171
MDA-MB-415,TRAMETINIB,19,171
MDA-MB-415,AZD6738,19,171
MDA-MB-415,AZD7762,19,171
MDA-MB-415,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),19,171
MDA-MB-415,GEFITINIB,19,171
MDA-MB-415,FULVESTRANT,19,171
MDA-MB-415,TAMOXIFEN,19,171
MDA-MB-415,SAPITINIB,19,171
MDA-MB-453,OLAPARIB,31,465
MDA-MB-453,AZ12419304,31,465
MDA-MB-453,CARBOPLATIN PACLITAXEL,31,465
MDA-MB-453,AZD8186,31,465
MDA-MB-453,957054-30-7,31,465
MDA-MB-453,CHLOROQUINE,31,465
MDA-MB-453,AZD5582,31,465
MDA-MB-453,AZD2014,31,465
MDA-MB-453,SELUMETINIB,31,465
MDA-MB-453,TRAMETINIB,31,465
MDA-MB-453,AZD6738,31,465
MDA-MB-453,AZD7762,31,465
MDA-MB-453,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),31,465
MDA-MB-453,ASTRAZENECA SLC16A4 INHIBITOR,31,465
MDA-MB-453,ALPELISIB,31,465
MDA-MB-453,BUPARLISIB,31,465
MDA-MB-453,1309805-49-9,31,465
MDA-MB-453,AZD1208,31,465
MDA-MB-453,AFATINIB,31,465
MDA-MB-453,41575-94-4,31,465
MDA-MB-453,MK-2206,31,465
MDA-MB-453,AZD4320,31,465
MDA-MB-453,AZD5363,31,465
MDA-MB-453,ASTRAZENECA PIP5K1 INHIBITOR,31,465
MDA-MB-453,"001, RAD",31,465
MDA-MB-453,AZD3463,31,465
MDA-MB-453,GEFITINIB,31,465
MDA-MB-453,FULVESTRANT,31,465
MDA-MB-453,TAMOXIFEN,31,465
MDA-MB-453,AZD4547,31,465
MDA-MB-453,SAPITINIB,31,465
MFM-223,OLAPARIB,19,171
MFM-223,AZD1208,19,171
MFM-223,AZD8186,19,171
MFM-223,AFATINIB,19,171
MFM-223,957054-30-7,19,171
MFM-223,MK-2206,19,171
MFM-223,AZD4320,19,171
MFM-223,AZD2014,19,171
MFM-223,ASTRAZENECA PIP5K1 INHIBITOR,19,171
MFM-223,AZD5363,19,171
MFM-223,SELUMETINIB,19,171
MFM-223,AZD6738,19,171
MFM-223,AZD3463,19,171
MFM-223,ASTRAZENECA SLC16A4 INHIBITOR,19,171
MFM-223,AZD4547,19,171
MFM-223,ALPELISIB,19,171
MFM-223,BUPARLISIB,19,171
MFM-223,SAPITINIB,19,171
MFM-223,1309805-49-9,19,171
SK-BR-3,AZ12419304,19,171
SK-BR-3,CARBOPLATIN PACLITAXEL,19,171
SK-BR-3,957054-30-7,19,171
SK-BR-3,CHLOROQUINE,19,171
SK-BR-3,41575-94-4,19,171
SK-BR-3,MK-2206,19,171
SK-BR-3,AZD5582,19,171
SK-BR-3,AZD2014,19,171
SK-BR-3,AZD5363,19,171
SK-BR-3,"001, RAD",19,171
SK-BR-3,SELUMETINIB,19,171
SK-BR-3,TRAMETINIB,19,171
SK-BR-3,AZD6738,19,171
SK-BR-3,AZD7762,19,171
SK-BR-3,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),19,171
SK-BR-3,GEFITINIB,19,171
SK-BR-3,FULVESTRANT,19,171
SK-BR-3,TAMOXIFEN,19,171
SK-BR-3,SAPITINIB,19,171
SUM149PT,OLAPARIB,19,171
SUM149PT,AZD1208,19,171
SUM149PT,AZD8186,19,171
SUM149PT,AFATINIB,19,171
SUM149PT,957054-30-7,19,171
SUM149PT,MK-2206,19,171
SUM149PT,AZD4320,19,171
SUM149PT,AZD2014,19,171
SUM149PT,ASTRAZENECA PIP5K1 INHIBITOR,19,171
SUM149PT,AZD5363,19,171
SUM149PT,SELUMETINIB,19,171
SUM149PT,AZD6738,19,171
SUM149PT,AZD3463,19,171
SUM149PT,ASTRAZENECA SLC16A4 INHIBITOR,19,171
SUM149PT,AZD4547,19,171
SUM149PT,ALPELISIB,19,171
SUM149PT,BUPARLISIB,19,171
SUM149PT,SAPITINIB,19,171
SUM149PT,1309805-49-9,19,171
SUM52PE,OLAPARIB,34,561
SUM52PE,AZ12419304,34,561
SUM52PE,CARBOPLATIN PACLITAXEL,34,561
SUM52PE,957054-30-7,34,561
SUM52PE,CHLOROQUINE,34,561
SUM52PE,AZ20,34,561
SUM52PE,AZD5582,34,561
SUM52PE,AZD2014,34,561
SUM52PE,946128-88-7,34,561
SUM52PE,SELUMETINIB,34,561
SUM52PE,TRAMETINIB,34,561
SUM52PE,ONALESPIB,34,561
SUM52PE,AZD6738,34,561
SUM52PE,AZD7762,34,561
SUM52PE,3'-EPI GEMCITABINE (GEMCITABINE IMPURITY),34,561
SUM52PE,CARFILZOMIB,34,561
SUM52PE,VORINOSTAT,34,561
SUM52PE,RAF265,34,561
SUM52PE,AZD1480,34,561
SUM52PE,AZD1208,34,561
SUM52PE,NAVITOCLAX,34,561
SUM52PE,5-AZACYTIDINE,34,561
SUM52PE,41575-94-4,34,561
SUM52PE,MK-2206,34,561
SUM52PE,AZD4320,34,561
SUM52PE,AZD5363,34,561
SUM52PE,"001, RAD",34,561
SUM52PE,BAY 65-1942,34,561
SUM52PE,GEFITINIB,34,561
SUM52PE,FULVESTRANT,34,561
SUM52PE,TAMOXIFEN,34,561
SUM52PE,CEDIRANIB,34,561
SUM52PE,AZD4547,34,561
SUM52PE,SAPITINIB,34,561
SW527,OLAPARIB,19,171
SW527,AZD1208,19,171
SW527,AZD8186,19,171
SW527,AFATINIB,19,171
SW527,957054-30-7,19,171
SW527,MK-2206,19,171
SW527,AZD4320,19,171
SW527,AZD2014,19,171
SW527,ASTRAZENECA PIP5K1 INHIBITOR,19,171
SW527,AZD5363,19,171
SW527,SELUMETINIB,19,171
SW527,AZD6738,19,171
SW527,AZD3463,19,171
SW527,ASTRAZENECA SLC16A4 INHIBITOR,19,171
SW527,AZD4547,19,171
SW527,ALPELISIB,19,171
SW527,BUPARLISIB,19,171
SW527,SAPITINIB,19,171
SW527,1309805-49-9,19,171
UACC-812,PEVONEDISTAT,45,990
UACC-812,ENTINOSTAT,45,990
UACC-812,TEMSIROLIMUS,45,990
UACC-812,CHLOROQUINE,45,990
UACC-812,1224844-38-5,45,990
UACC-812,AZD2014,45,990
UACC-812,SELUMETINIB,45,990
UACC-812,TRAMETINIB,45,990
UACC-812,781661-94-7,45,990
UACC-812,ONALESPIB,45,990
UACC-812,AZD7762,45,990
UACC-812,CARFILZOMIB,45,990
UACC-812,VORINOSTAT,45,990
UACC-812,RAF265,45,990
UACC-812,PERIFOSINE,45,990
UACC-812,GDC-0879,45,990
UACC-812,RO4929097,45,990
UACC-812,NAVITOCLAX,45,990
UACC-812,MK-2206,45,990
UACC-812,AZD5363,45,990
UACC-812,4-HYDROXYTAMOXIFEN,45,990
UACC-812,FULVESTRANT,45,990
UACC-812,TIVANTINIB,45,990
UACC-812,AZD4547,45,990
UACC-812,OLAPARIB,45,990
UACC-812,BORTEZOMIB,45,990
UACC-812,803712-79-0,45,990
UACC-812,ASTRAZENECA CHK1 INHIBITOR,45,990
UACC-812,946128-88-7,45,990
UACC-812,XL765,45,990
UACC-812,LONAFARNIB,45,990
UACC-812,REGORAFENIB,45,990
UACC-812,AZD1480,45,990
UACC-812,ENZASTAURIN,45,990
UACC-812,DEFOROLIMUS,45,990
UACC-812,MK-1775,45,990
UACC-812,5-AZACYTIDINE,45,990
UACC-812,VANDETANIB,45,990
UACC-812,"001, RAD",45,990
UACC-812,IDELALISIB,45,990
UACC-812,MED-575,45,990
UACC-812,GEFITINIB,45,990
UACC-812,CRIZOTINIB,45,990
UACC-812,TAMOXIFEN,45,990
UACC-812,SAPITINIB,45,990
4T1,OLAPARIB,22,231
4T1,AZD1208,22,231
4T1,NAVITOCLAX,22,231
4T1,5-AZACYTIDINE,22,231
4T1,CHLOROQUINE,22,231
4T1,AZD4320,22,231
4T1,AZ20,22,231
4T1,AZD5582,22,231
4T1,AZD2014,22,231
4T1,946128-88-7,22,231
4T1,AZD5363,22,231
4T1,"001, RAD",22,231
4T1,ONALESPIB,22,231
4T1,AZD7762,22,231
4T1,CARFILZOMIB,22,231
4T1,VORINOSTAT,22,231
4T1,RAF265,22,231
4T1,BAY 65-1942,22,231
4T1,CEDIRANIB,22,231
4T1,AZD1480,22,231
4T1,AZD4547,22,231
4T1,SAPITINIB,22,231
HCC1428-LTED,OLAPARIB,19,171
HCC1428-LTED,AZD1208,19,171
HCC1428-LTED,AZD8186,19,171
HCC1428-LTED,AFATINIB,19,171
HCC1428-LTED,957054-30-7,19,171
HCC1428-LTED,MK-2206,19,171
HCC1428-LTED,AZD4320,19,171
HCC1428-LTED,AZD2014,19,171
HCC1428-LTED,ASTRAZENECA PIP5K1 INHIBITOR,19,171
HCC1428-LTED,AZD5363,19,171
HCC1428-LTED,SELUMETINIB,19,171
HCC1428-LTED,AZD6738,19,171
HCC1428-LTED,AZD3463,19,171
HCC1428-LTED,ASTRAZENECA SLC16A4 INHIBITOR,19,171
HCC1428-LTED,AZD4547,19,171
HCC1428-LTED,ALPELISIB,19,171
HCC1428-LTED,BUPARLISIB,19,171
HCC1428-LTED,SAPITINIB,19,171
HCC1428-LTED,1309805-49-9,19,171
ZR75-LTED,OLAPARIB,19,171
ZR75-LTED,AZD1208,19,171
ZR75-LTED,AZD8186,19,171
ZR75-LTED,AFATINIB,19,171
ZR75-LTED,957054-30-7,19,171
ZR75-LTED,MK-2206,19,171
ZR75-LTED,AZD4320,19,171
ZR75-LTED,AZD2014,19,171
ZR75-LTED,ASTRAZENECA PIP5K1 INHIBITOR,19,171
ZR75-LTED,AZD5363,19,171
ZR75-LTED,SELUMETINIB,19,171
ZR75-LTED,AZD6738,19,171
ZR75-LTED,AZD3463,19,171
ZR75-LTED,ASTRAZENECA SLC16A4 INHIBITOR,19,171
ZR75-LTED,AZD4547,19,171
ZR75-LTED,ALPELISIB,19,171
ZR75-LTED,BUPARLISIB,19,171
ZR75-LTED,SAPITINIB,19,171
ZR75-LTED,1309805-49-9,19,171
4T1FGF,OLAPARIB,22,231
4T1FGF,AZD1208,22,231
4T1FGF,NAVITOCLAX,22,231
4T1FGF,5-AZACYTIDINE,22,231
4T1FGF,CHLOROQUINE,22,231
4T1FGF,AZD4320,22,231
4T1FGF,AZ20,22,231
4T1FGF,AZD5582,22,231
4T1FGF,AZD2014,22,231
4T1FGF,946128-88-7,22,231
4T1FGF,AZD5363,22,231
4T1FGF,"001, RAD",22,231
4T1FGF,ONALESPIB,22,231
4T1FGF,AZD7762,22,231
4T1FGF,CARFILZOMIB,22,231
4T1FGF,VORINOSTAT,22,231
4T1FGF,RAF265,22,231
4T1FGF,BAY 65-1942,22,231
4T1FGF,CEDIRANIB,22,231
4T1FGF,AZD1480,22,231
4T1FGF,AZD4547,22,231
4T1FGF,SAPITINIB,22,231
CAL120FGF,OLAPARIB,22,231
CAL120FGF,AZD1208,22,231
CAL120FGF,NAVITOCLAX,22,231
CAL120FGF,5-AZACYTIDINE,22,231
CAL120FGF,CHLOROQUINE,22,231
CAL120FGF,AZD4320,22,231
CAL120FGF,AZ20,22,231
CAL120FGF,AZD5582,22,231
CAL120FGF,AZD2014,22,231
CAL120FGF,946128-88-7,22,231
CAL120FGF,AZD5363,22,231
CAL120FGF,"001, RAD",22,231
CAL120FGF,ONALESPIB,22,231
CAL120FGF,AZD7762,22,231
CAL120FGF,CARFILZOMIB,22,231
CAL120FGF,VORINOSTAT,22,231
CAL120FGF,RAF265,22,231
CAL120FGF,BAY 65-1942,22,231
CAL120FGF,CEDIRANIB,22,231
CAL120FGF,AZD1480,22,231
CAL120FGF,AZD4547,22,231
CAL120FGF,SAPITINIB,22,231
MCF7F10016FGF,OLAPARIB,22,231
MCF7F10016FGF,AZD1208,22,231
MCF7F10016FGF,NAVITOCLAX,22,231
MCF7F10016FGF,5-AZACYTIDINE,22,231
MCF7F10016FGF,CHLOROQUINE,22,231
MCF7F10016FGF,AZD4320,22,231
MCF7F10016FGF,AZ20,22,231
MCF7F10016FGF,AZD5582,22,231
MCF7F10016FGF,AZD2014,22,231
MCF7F10016FGF,946128-88-7,22,231
MCF7F10016FGF,AZD5363,22,231
MCF7F10016FGF,"001, RAD",22,231
MCF7F10016FGF,ONALESPIB,22,231
MCF7F10016FGF,AZD7762,22,231
MCF7F10016FGF,CARFILZOMIB,22,231
MCF7F10016FGF,VORINOSTAT,22,231
MCF7F10016FGF,RAF265,22,231
MCF7F10016FGF,BAY 65-1942,22,231
MCF7F10016FGF,CEDIRANIB,22,231
MCF7F10016FGF,AZD1480,22,231
MCF7F10016FGF,AZD4547,22,231
MCF7F10016FGF,SAPITINIB,22,231
MCF7F1003,PEVONEDISTAT,50,1225
MCF7F1003,ENTINOSTAT,50,1225
MCF7F1003,TEMSIROLIMUS,50,1225
MCF7F1003,CHLOROQUINE,50,1225
MCF7F1003,1224844-38-5,50,1225
MCF7F1003,AZ20,50,1225
MCF7F1003,AZD5582,50,1225
MCF7F1003,AZD2014,50,1225
MCF7F1003,SELUMETINIB,50,1225
MCF7F1003,TRAMETINIB,50,1225
MCF7F1003,781661-94-7,50,1225
MCF7F1003,ONALESPIB,50,1225
MCF7F1003,AZD7762,50,1225
MCF7F1003,CARFILZOMIB,50,1225
MCF7F1003,VORINOSTAT,50,1225
MCF7F1003,RAF265,50,1225
MCF7F1003,PERIFOSINE,50,1225
MCF7F1003,GDC-0879,50,1225
MCF7F1003,RO4929097,50,1225
MCF7F1003,NAVITOCLAX,50,1225
MCF7F1003,MK-2206,50,1225
MCF7F1003,AZD5363,50,1225
MCF7F1003,4-HYDROXYTAMOXIFEN,50,1225
MCF7F1003,FULVESTRANT,50,1225
MCF7F1003,TIVANTINIB,50,1225
MCF7F1003,AZD4547,50,1225
MCF7F1003,OLAPARIB,50,1225
MCF7F1003,BORTEZOMIB,50,1225
MCF7F1003,803712-79-0,50,1225
MCF7F1003,ASTRAZENECA CHK1 INHIBITOR,50,1225
MCF7F1003,946128-88-7,50,1225
MCF7F1003,XL765,50,1225
MCF7F1003,LONAFARNIB,50,1225
MCF7F1003,REGORAFENIB,50,1225
MCF7F1003,AZD1480,50,1225
MCF7F1003,AZD1208,50,1225
MCF7F1003,ENZASTAURIN,50,1225
MCF7F1003,DEFOROLIMUS,50,1225
MCF7F1003,MK-1775,50,1225
MCF7F1003,5-AZACYTIDINE,50,1225
MCF7F1003,AZD4320,50,1225
MCF7F1003,"001, RAD",50,1225
MCF7F1003,IDELALISIB,50,1225
MCF7F1003,MED-575,50,1225
MCF7F1003,BAY 65-1942,50,1225
MCF7F1003,GEFITINIB,50,1225
MCF7F1003,CRIZOTINIB,50,1225
MCF7F1003,TAMOXIFEN,50,1225
MCF7F1003,CEDIRANIB,50,1225
MCF7F1003,SAPITINIB,50,1225
MCF7F1003FGF,OLAPARIB,22,231
MCF7F1003FGF,AZD1208,22,231
MCF7F1003FGF,NAVITOCLAX,22,231
MCF7F1003FGF,5-AZACYTIDINE,22,231
MCF7F1003FGF,CHLOROQUINE,22,231
MCF7F1003FGF,AZD4320,22,231
MCF7F1003FGF,AZ20,22,231
MCF7F1003FGF,AZD5582,22,231
MCF7F1003FGF,AZD2014,22,231
MCF7F1003FGF,946128-88-7,22,231
MCF7F1003FGF,AZD5363,22,231
MCF7F1003FGF,"001, RAD",22,231
MCF7F1003FGF,ONALESPIB,22,231
MCF7F1003FGF,AZD7762,22,231
MCF7F1003FGF,CARFILZOMIB,22,231
MCF7F1003FGF,VORINOSTAT,22,231
MCF7F1003FGF,RAF265,22,231
MCF7F1003FGF,BAY 65-1942,22,231
MCF7F1003FGF,CEDIRANIB,22,231
MCF7F1003FGF,AZD1480,22,231
MCF7F1003FGF,AZD4547,22,231
MCF7F1003FGF,SAPITINIB,22,231
MCF7NFGF,OLAPARIB,22,231
MCF7NFGF,AZD1208,22,231
MCF7NFGF,NAVITOCLAX,22,231
MCF7NFGF,5-AZACYTIDINE,22,231
MCF7NFGF,CHLOROQUINE,22,231
MCF7NFGF,AZD4320,22,231
MCF7NFGF,AZ20,22,231
MCF7NFGF,AZD5582,22,231
MCF7NFGF,AZD2014,22,231
MCF7NFGF,946128-88-7,22,231
MCF7NFGF,AZD5363,22,231
MCF7NFGF,"001, RAD",22,231
MCF7NFGF,ONALESPIB,22,231
MCF7NFGF,AZD7762,22,231
MCF7NFGF,CARFILZOMIB,22,231
MCF7NFGF,VORINOSTAT,22,231
MCF7NFGF,RAF265,22,231
MCF7NFGF,BAY 65-1942,22,231
MCF7NFGF,CEDIRANIB,22,231
MCF7NFGF,AZD1480,22,231
MCF7NFGF,AZD4547,22,231
MCF7NFGF,SAPITINIB,22,231
MCF7SHIODA,OLAPARIB,34,561
MCF7SHIODA,AZD8186,34,561
MCF7SHIODA,957054-30-7,34,561
MCF7SHIODA,CHLOROQUINE,34,561
MCF7SHIODA,AZ20,34,561
MCF7SHIODA,AZD5582,34,561
MCF7SHIODA,AZD2014,34,561
MCF7SHIODA,946128-88-7,34,561
MCF7SHIODA,SELUMETINIB,34,561
MCF7SHIODA,ONALESPIB,34,561
MCF7SHIODA,AZD6738,34,561
MCF7SHIODA,AZD7762,34,561
MCF7SHIODA,CARFILZOMIB,34,561
MCF7SHIODA,ASTRAZENECA SLC16A4 INHIBITOR,34,561
MCF7SHIODA,VORINOSTAT,34,561
MCF7SHIODA,RAF265,34,561
MCF7SHIODA,AZD1480,34,561
MCF7SHIODA,ALPELISIB,34,561
MCF7SHIODA,BUPARLISIB,34,561
MCF7SHIODA,1309805-49-9,34,561
MCF7SHIODA,AZD1208,34,561
MCF7SHIODA,AFATINIB,34,561
MCF7SHIODA,NAVITOCLAX,34,561
MCF7SHIODA,5-AZACYTIDINE,34,561
MCF7SHIODA,MK-2206,34,561
MCF7SHIODA,AZD4320,34,561
MCF7SHIODA,AZD5363,34,561
MCF7SHIODA,ASTRAZENECA PIP5K1 INHIBITOR,34,561
MCF7SHIODA,"001, RAD",34,561
MCF7SHIODA,AZD3463,34,561
MCF7SHIODA,BAY 65-1942,34,561
MCF7SHIODA,CEDIRANIB,34,561
MCF7SHIODA,AZD4547,34,561
MCF7SHIODA,SAPITINIB,34,561
MCF7T52,PEVONEDISTAT,50,1225
MCF7T52,ENTINOSTAT,50,1225
MCF7T52,TEMSIROLIMUS,50,1225
MCF7T52,CHLOROQUINE,50,1225
